Content Questions,Page #,Answer
In The Name of This Book is a Secret by Pseudonymous Bosch what day does this story begin?,10,Wednesday
In The Name of This Book is a Secret by Pseudonymous Bosch what is Cass' large distinguishing feature?,11,large pointy ears
In The Name of This Book is a Secret by Pseudonymous Bosch Max Earnest is an 11 year old aspiring what?,26,Stand-up comedian
In The Name of This Book is a Secret by Pseudonymous Bosch on a note there were 4 instruments listed. Name two of the istruments.,44,"clarinet, flute, oboe, bassoon"
In The Name of This Book is a Secret by Pseudonymous Bosch what color was the for sale sign at the magicians house?,62,(bright) yellow
In The Name of This Book is a Secret by Pseudonymous Bosch what is the magic word that starts the elevator?,65,Please
In The Name of This Book is a Secret by Pseudonymous Bosch when caught in the magicians house Gloria recognizes Cass from Larry and waynes and describes her as what? ,78,Pesky
In The Name of This Book is a Secret by Pseudonymous Bosch what lesson did Cass have to miss when they decided to go back to the magicians house Monday?,98,Oboe
In The Name of This Book is a Secret by Pseudonymous Bosch what is one thing Grandpa Larry used the reed for in his bedtime story?,107,"Underwater breathing device, a fishing pole, a wind instrument, a weapon, a straw"
In The Name of This Book is a Secret by Pseudonymous Bosch what was Pietro and Luciano's punishment for their poor attempt at thievery?,129,[Help Sammy] Clean the animal cages
In The Name of This Book is a Secret by Pseudonymous Bosch who made the Symphony of Smells?,139,A French Doctor
In The Name of This Book is a Secret by Pseudonymous Bosch what flavor was Ambers 100th Smoochie?,150,Cotton Candy
In The Name of This Book is a Secret by Pseudonymous Bosch what was the name on the limousine that took Benjamin away?,159,The Midnight Sun Sensorium and Spa
In The Name of This Book is a Secret by Pseudonymous Bosch how did the principal know that Cass wrote the ransom note?,165,She recognized her handwriting
In The Name of This Book is a Secret by Pseudonymous Bosch who was Ms. Mauvais' surprise guest at the spa?,221,Max Ernest
In The Name of This Book is a Secret by Pseudonymous Bosch where does Ms. Mauvais say she will take Max Ernest after his lobotomy?,223,Paris
In The Name of This Book is a Secret by Pseudonymous Bosch what is one item that Max Earnest pulled from his pockets when Dr. L asked him to empty them.,248,"odd bits of paper, gum wrappers, a crumpled trading card, a chewed up straw"
"In The Name of This Book is a Secret by Pseudonymous Bosch in Benjamins experience, when people had gray voices they were usually what?",255,lying
In The Name of This Book is a Secret by Pseudonymous Bosch what was the code for the door to the pyramid?,280,Thoth
In The Name of This Book is a Secret by Pseudonymous Bosch what is the bronse door embossed with?,275,Egyptian Hyroglyphics
In The Name of This Book is a Secret by Pseudonymous Bosch the spy hole didn't allow them to see the entire room but from different angles they could piece it together like what?,283,A collage
In The Name of This Book is a Secret by Pseudonymous Bosch the interior of the pyramid reverberated what?,293,sounds and smells
In The Name of This Book is a Secret by Pseudonymous Bosch what is one reason Cass thinks Owen drove off without saying goodbye?,315,"He didn't want to intrude, He couldn't choose the right accent or spies are just like that"
In The Name of This Book is a Secret by Pseudonymous Bosch what did the Bergamo brothers say when they thought the lion was going to eat them?,308,arrivederci
In The Name of This Book is a Secret by Pseudonymous Bosch what does the author say are hard parts of a book to write?,314,the endings
In The Name of This Book is a Secret by Pseudonymous Bosch what does the author say that Mrs. Johnson represents in the book?,322,the law
In The Name of This Book is a Secret by Pseudonymous Bosch who did the man with a straw hat in the bathroom say that he was?,338,the gardner
In The Name of This Book is a Secret by Pseudonymous Bosch what were two of the easier feelings that Max-Ernest and Cass had when Max Ernest read the letter from the screen of his decoder?,348,"happiness, pride, anxiety, fear"
