Content Questions,Page #,Answer
"In Freewater, according to Homer, what do the grapes and honey at Freewater taste like?",164,happiness
"In Freewater, what nickname does Mrs. Crumb use when reassuring Viola about the food at the wedding reception?",170,Sweet Pea
"In Freewater, who is Sanzi named after?",176,"Mrs. Sanzi, the oldest woman in the plantation or Mrs. Sanzi"
"In Freewater, Sanzi learns she had a brother. What does her mother say his name was?",180,Moonlight
"In Freewater, who is the oldest woman in Freewater?",182,Mrs. Faith
"In Freewater, according to Homer, ""your world can change"" in how many days?",182,twenty one days
"In Freewater, what fruit has arrived and is being made into preserves six days before Viola's wedding?",192,peaches
"(2-Part) In Freewater, in addition to freed souls, what ""precious gifts"" does Suleman bring to Freewater?",196,"Any two of: salt, real rope, a cooking pot "
"In Freewater, Sanzi and Ferdinand saved Ada from being chased by what kind of animals?",202,pigs
"In Freewater, what animal is Ibra's ""call""?",212,owl
"In Freewater, what is Mrs. Crumb's first name?",216,Sherline
"In Freewater, on what day of the week is Old Joe allowed to leave Southerland in order to sell his goods at the market?",216,Thursday
"(2-part) In Freewater, name two types of trees that, according to Daria, are good to use when checking to see if your rope will hold.",242,tupelo and cypress
"In Freewater, what does Anne help Old Joe do when Mr. Crumb bought something from a tradesman before the wedding?",250,carry a cask of whiskey
"In Freewater, which two characters were married by Mrs. Light?",264,Daria and Ibra
"In Freewater, what caused the fire in the cornfields?",273,Sanzi's flaming arrows
"In Freewater, what does Suleman warn the people of Freewater about when they met after the fire?",282,the white men are sending the militia to the swamp
"In Freewater, before escaping, two other slaves are chained to Ferdinand. What is the name of the one who gets bit by a snake?",300,Adam
"In Freewater, who were the two people chained up with Ferdinand when he was a slave?",300,Titus and Adam
"In Freewater, each evening, what does Mrs. Crumb lay on the end table beside her bed? (be specific)",309,her key necklace (or: her key) 
"In Freewater, how many sheets of paper does Nora take from the chest in her mother's room?",310,four
"In Freewater, what does Nora motioned with her hands to Rose after getting the backpack from the hay?",313,"You, me, free"
"In Freewater, what landmark on Two-Shoes' map does Billy help his friends find? (be specific)",319,a knotted tree
"In Freewater, when Nora is sent to get her ribbon, what is she really looking for?",331,her book 
"In Freewater, what  animal does Juna see for the first time on the way to the plantation?",334,dogs
"(2-Part) In Freewater, at the wedding reception, Anna has a pitcher in each hand. What two beverages is she serving?",341,water and whiskey
"In Freewater, what color are the sheds painted at Southerland plantation? ",355,white
"In Freewater, what animal do Sanzi and Ferdinand see when they enter the first shed on the plantation?",356,chickens
"In Freewater, what item does Sanzi find in the plantation's shed, putting it into her bag?",357,harmonica
"In Freewater, what is the name of Two-Shoes's daughter?",390,Minnie 
"In Freewater, after the fire at the wedding reception, how many souls does Suleman help guide to freedom?",393,ten
"In Freewater, what does Ada think people can do up North that she also dreams of doing?","4,8-9",flying
"(2-Part) In Freewater, name any two of the ""tales"" that had spread among the swamp island children about ""what lay in plantation lands.""",vii-viii,"Any two of: 1) two-headed men, 2) turtles without shells, 3)skeletons that rose from the dead"
"In Freewater, how old is Sanzi in the beginning of the story?",viii,twelve years old
