In Which Book Questions,Page #,Title,Author
In which book is a house painted the color of shrimp curry that their mother makes?,80,Counting by 7s,Holly Goldberg Sloan
"In which book does a character prefer the ease of a sleeping bag over sheets, blankets, comforters, and duvet covers?",84,Counting by 7s,Holly Goldberg Sloan
In which book does a character sleep in a sleeping bag to avoid making the bed?,84,Counting by 7's,Holly Goldberg Sloan
"In which book does a character play the Opposite Game, but doesn't tell their opponent?",92,Counting by 7s,Holly Goldberg Sloan
In which book does a character live on a road named Citrus?,93,Counting by 7s,Holly Goldberg Sloan
"In which book is it noted that, ""endings are always the beginnings of something else.""?",107,Counting by 7s,Holly Goldberg Sloan
"In which book is a character asked to identify ""next of kin""?",108,Counting by 7's,Holly Goldberg Sloan
In which book does someone die on their sixty-sixth birthday?,108,Counting by 7's,Holly Goldberg Sloan
In which book does a character's grandparent think every day is Tuesday?,109,Counting by 7s,Holly Goldberg Sloan
In which book does a high school student have underwear with robots on them?,129,Counting by 7's,Holly Goldberg Sloan
In which book does a character ask for a complex multi-vitamin designed specifically for juvenile use?,137,Counting by 7s,Holly Goldberg Sloan
In which book does a character get 9 stitches on their face?,143,Counting by 7s,Holly Goldberg Sloan
In which book does a character gnaw a plastic hospital band off their wrist?,147,Counting by 7s,Holly Goldberg Sloan
In which book does a taxi driver think a twelve year old is his angel?,147,Counting by 7's,Holly Goldberg Sloan
In which book doea a character note that books equal comfort?,151,Counting by 7s,Holly Goldberg Sloan
In which book does a character think they would live a the library if it were an option?,151,Counting by 7's,Holly Goldberg Sloan
In which book does a character hide behind a doughnut-shaped piece of furniture?,153,Counting by 7s,Holly Goldberg Sloan
In which book do characters visit Happy Jack's Pie n' Burger Shop?,159,Counting by 7s,Holly Goldberg Sloan
In which book does a character order hot water with honey and vinegar at a restaurant?,160,Counting by 7's,Holly Goldberg Sloan
In which book is a character horrified at the release of white balloons?,171,Counting by 7s,Holly Goldberg Sloan
In which book does a character have a closet full of hundrreds of pairs of underwear?,192,Counting by 7's,Holly Goldberg Sloan
In which book does a character wear underwear featuring cartoon characters and images of vegetables?,201,Counting by 7s,Holly Goldberg Sloan
In which book do characters use pieces of broken beer bottles to make a stained glass skylight?,206,Counting by 7's,Holly Goldberg Sloan
In which book does someone say that prospective parents always pick the blond kid first?,212,Counting by 7's,Holly Goldberg Sloan
In which book does a character see the full moon as a fuzzy amber-and-green lollipop?,217,Counting by 7s,Holly Goldberg Sloan
In which book does a character feed hummingbirds from their fingertips?,236,Counting by 7's,Holly Goldberg Sloan
In which book is a character the one millionth customer at a book store?,247,Counting by 7s,Holly Goldberg Sloan
In which book does a character write a five-page paper on Mark Twain?,261,Counting by 7s,Holly Goldberg Sloan
In which book does a character buy bright pink running shoes with hot pink laces?,273,Counting by 7's,Holly Goldberg Sloan
"In which book does a character recite a portion of the poem The Descent, by William Carlos Williams?",286,Counting by 7s,Holly Goldberg Sloan
In which book is an orphan compared to a snake in a petting zoo?,292,Counting by 7's,Holly Goldberg Sloan
In which book does a character celebrate soil with a neutral pH?,303,Counting by 7s,Holly Goldberg Sloan
In which book does a character say the cat is a therapy dog?,330,Counting by 7s,Holly Goldberg Sloan
In which book does a character note that they're not brave; it's just that all other choices have been thrown out the window?,360,Counting by 7s,Holly Goldberg Sloan
In which book does a character wear a shirt with doves on it to symbolize love?,366,Counting by 7's,Holly Goldberg Sloan
