In Which Book Questions,Page #,Title,Author
In which book do characters discover that a submarine was a prototype for Artificial Intelligence (AI)?,175,Daughter of the Deep,Rick Riordan
In which book do the sides of a hull remind a character of vibrissal crypts on a dolphin's skin?,178,Daughter of the Deep,Rick Riordan
In which book does a character eventually learn their father died instantly from an electrical charge?,180,Daughter of the Deep,Rick Riordan
In which book do parents die of electrocution?,181,Daughter of the deep,Rick Riordan
In which book is the motto Mobilis in Mobile found on a mosaic crest?,184,Daughter of the Deep,Rick Riordan
In which book is there a mosaic crest with a gold cursive N within a black circle wreathed with golden squid?,184,Daughter of the deep,Rick Riordan
In which book is this latin motto discovered:  MOBILIS IN MOBILE?,184,Daughter of the Deep,Rick Riordan
In which book does a library have floor to ceiling bookcases filled with water damaged books?,186,Daughter of the deep,Rick Riordan
In which book are control stations so intricately designed that they remind a character of an open-faced Swiss watch?,189,Daughter of the Deep,Rick Riordan
"In which book do character suspects that a core processor or brain, lies behind a secret door, or service panel?",191,Daughter of the Deep,Rick Riordan
In which book is a pipe organ installed?,194,Daughter of the deep,Rick Riordan
In which book must a ship choose its captain?,195,Daughter of the Deep,Rick Riordan
In which book does a character recall taking piano lessons from Mrs. Flannigan as a child?,198,Daughter of the Deep,Rick Riordan
In which book is a piano teacher named Mrs. Flannigan?,198,Daughter of the Deep,Rick Riordan
In which book are great eyes of a prow lit purple around the borders?,200,Daughter of the Deep,Rick Riordan
In which book do characters eat macroalgae cheese souffle?,201,Daughter of the deep,Rick Riordan
In which book does a pile of gross stuff on a pier look like a garage sale barfed up from the belly of a whale?,206,Daughter of the Deep,Rick Riordan
In which book do characters determine that a submarine at least has a chance on the open sea?,217,Daughter of the Deep,Rick Riordan
In which book does someone request six scones?,223,Daughter of the Deep,Rick Riordan
In which book is there a giant forest of stalagmites rising from a lake bottom?,224,Daughter of the Deep,Rick Riordan
In which book is there a great big goo explosion?,232,Daughter of the deep,Rick Riordan
In which book is a black pearl used to track one's location?,236,Daughter of the deep,Rick Riordan
In which book is a tracking device hidden in a necklace?,237,Daughter of the Deep,Rick Riordan
In which book does a character realize they have been tracked via their mother's necklace?,237,Daughter of the Deep,Rick Riordan
In which book does a headache generate an explosive yield of about fifty megatons?,240,Daughter of the Deep,Rick Riordan
"In which book is a submarine stuck in the middle of the ocean with no propulsion, no allies and no friendly ports?",243,Daughter of the Deep,Rick Riordan
In which book does a meeting take place at a mohangany table under an abalone chandelier?,244,Daughter of the Deep,Rick Riordan
In which book are two schools inspired by different sides of the same person?,251,Daughter of the deep,Rick Riordan
In which book does a brother hold together a positive facade while inside stew in bitterness?,251,Daughter of the Deep,Rick Riordan
"In which book does a lock unlock when a character says, ""would it be okay if I opened this door?""",253,Daughter of the Deep,Rick Riordan
"In which book does a secret door hold silver, pearls, diamonds, rubies and sapphires behind it?",254,Daughter of the deep,Rick Riordan
In which book is a keytar discovered inside a locked room?,255,Daughter of the Deep,Rick Riordan
In which book do characters look for muffin pans in the middle of the Palau Trench?,257,Daughter of the Deep,Rick Riordan
In which book does a character quietly celebrate their 15th birthday with a cupcake for breakfast?,259,Daughter of the Deep,Rick Riordan
In which book does a captain spend most of an afternoon playing a pipe organ?,260,Daughter of the Deep,Rick Riordan
In which book is the remedy to playing sad music dog-cuddling?,262,Daughter of the Deep,Rick Riordan
In which book is leidenfrost discussed?,264,Daughter of the Deep,Rick Riordan
In which book does a gigantic octopus attack a submarine?,271,Daughter of the Deep,Rick Riordan
In which book does someone touch the forehead of a gigantic octopus?,275,Daughter of the Deep,Rick Riordan
In which book does someone believe that communication can solve any problem?,276,Daughter of the Deep,Rick Riordan
"In which book does a character remember the saying ""Plans are worthless, but planning is everything'?",279,Daughter of the Deep,Rick Riordan
"In which book does Plan C mean ""coal""?",284,Daughter of the Deep,Rick Riordan
In which book does a captain remember a military maxim from Chinese general Sun Tzu?,287,Daughter of the Deep,Rick Riordan
In which book does Romeo drag down a submarine?,292,Daughter of the Deep,Rick Riordan
In which book does Romeo break a submarine's heart?,293,Daughter of the Deep,Rick Riordan
"In which book is an order given to ""get all the guns you can carry""?",294,Daughter of the Deep,Rick Riordan
In which book are there divers that fight under water?,299,Daughter of the Deep,Rick Riordan
In which book does a character fire SIG Sauers on guards that drop like sandbags?,303,Daughter of the Deep,Rick Riordan
In which book are four characters held hostage in the middle of a dining room?,305,Daughter of the Deep,Rick Riordan
In which book does a character say that they can taste the color turquoise?,310,Daughter of the Deep,Rick Riordan
"In which book does a character say ""Lovely to see you again. Thank you so much for the grenades.""?",310,Daughter of the Deep,Rick Riordan
"In which book does a brother say, ""Stupid little girl, you've ruined everything.""?",314,Daughter of the Deep,Rick Riordan
"In which book does a character use the ""boneless toddler"" defense?",315,Daughter of the Deep,Rick Riordan
In which book does a character stay in the sick bay longer than necessary?,321,Daughter of the Deep,Rick Riordan
In which book does a character offer to their classmates that they may choose to go to a normal high school?,326,Daughter of the Deep,Rick Riordan
In which book does a dolphin excoriate a character?,331,Daughter of the Deep,Rick Riordan
