Content Questions,Page #,Answer
"In Frizzy, what does Marlene order on her half of the pizza that she shared with Tia Ruby?",170,pepperoni
"In Frizzy, what is the reveal station also known as?",172,the mirror
"In Frizzy, what does Marlene wear around her waist at school the day after she spent the day at Tia Ruby's house?",183,a jacket or sweater
"In Frizzy, who tells Marlene she looks a little like Dulce Maria?",188,Stacy
"In Frizzy, what does Camilla give Marlene to hide her hair from mami?",190,a hat 
"In Frizzy, every sunday what does Marlene wake up and feel?",196,a stomachache
"In Frizzy, why did Mami stop wearing her hair curly?",201,it made her think of papi
"In Frizzy, what is Mami's first name?",205,Paola
"In Frizzy, what do Marlene and Tia Ruby say is the most important part of wash day?",209,pizza
"In Frizzy, what does Mami think about her curly hair?",112,she loves it
